X,Y,DEPT_ID,STATION,ESN,ATY,COI,CID,AID,ANA,AAD,MCN,STA,SOD,DLU,MAILADD,MAILTOWN,MAILZIP,PARCEL_SBL,NAME,WEBLINK,ADDRESS
-73.90854838,41.53284293,81,AL-2,518,E,36027,133001,0,ALAMO FISHKILL SUB-STATION,4 WOOD PL,FISHKILL VILLAGE,NY,DCER,20040429,10 S WHITE ST,POUGHKEEPSIE,12601,3001-6155-07-612872,ALAMO FISHKILL SUB-STATION,,4 WOOD PL
-73.95766182,41.50913172,82,BVHQ,"501, 513, 515, 517, 563",E,36027,130200,0,BEACON VOLUNTEER AMBULANCE CORP,1 ARQUILLA DR,BEACON CITY,NY,DCER,20040429,1 ARQUILLA DR,BEACON,12508,0200-6055-03-291002,BEACON VOLUNTEER AMBULANCE CORP,"http://www.beaconvac.org
",1 ARQUILLA DR
-73.91951747,41.58530242,0,WAPPEMS,"547, 548, 549",E,36027,135689,0,TOWN OF WAPPINGER EMERGENCY SERVICE,16 MIDDLEBUSH RD,WAPPINGER,NY,DCER,20040429,16 MIDDLEBUSH RD,WAPPINGERS FALLS,12590,5689-6157-01-353274,TOWN OF WAPPINGER EMERGENCY SERVICE,,16 MIDDLEBUSH RD
-73.53695278,41.92527627,84,NDPM-2,,E,36027,133889,0,NORTHERN DUTCHESS PARAMEDICS ST. 2,5609 ROUTE 22,NORTH EAST,NY,DCER,20040429,PO BOX 672,RHINEBECK,12572,3889-7170-00-653245,NORTHERN DUTCHESS PARAMEDICS ST. 2,,5609 ROUTE 22
-73.89905341,41.95917034,84,NDPM-1,,E,36027,135089,0,NORTHERN DUTCHESS PARAMEDICS ST. 1,3 HOOK RD,RHINEBECK,NY,DCER,20040429,PO BOX 672,RHINEBECK,12572,5089-6171-00-814414,NORTHERN DUTCHESS PARAMEDICS ST. 1,http://www.ndpems.com,3 HOOK RD
-73.57907832,41.73428672,84,NDPM-3,,E,36027,132600,0,NORTHERN DUTCHESS PARAMEDICS ST. 3,6 DOVER VILLAGE PLAZA,DOVER,NY,DCER,20040429,PO BOX 672,RHINEBECK,12572,2600-7063-00-562258,NORTHERN DUTCHESS PARAMEDICS ST. 3,,6 DOVER VILLAGE PLAZA
-73.91270973,41.78856323,84,NDPM-4,,E,36027,133200,0,NORTHERN DUTCHESS PARAMEDICS ST. 4,10 CRUM ELBOW RD,HYDE PARK,NY,DCER,20040429,PO BOX 672,RHINEBECK,12572,3200-6165-03-459168,NORTHERN DUTCHESS PARAMEDICS ST. 4,,10 CRUM ELBOW RD
-73.910387,41.72973686,41,FA-1,"519, 536",F,36027,134689,14009,FAIRVIEW FIRE DISTRICT,258 VIOLET AV,POUGHKEEPSIE,NY,DCER,20040429,258 VIOLET AV,POUGHKEEPSIE,12601,4689-6163-19-545040,FAIRVIEW FIRE DISTRICT,http://www.fairviewfd.net,258 VIOLET AV
-73.80692542,41.57227315,39,EF-1,512,F,36027,132800,14008,EAST FISHKILL FIRE DEPT. ST. 1,320 ROUTE 376,EAST FISHKILL,NY,DCER,20040429,PO BOX 261,HOPEWELL JUNCTION,12533,2800-6457-03-395326,EAST FISHKILL FIRE DEPT. ST. 1,http://www.hopewellhose.com,320 ROUTE 376
-73.7156235,41.7279673,67,UV-1,546,F,36027,135400,14032,UNION VALE FIRE DEPARTMENT ST. 1,3373 ROUTE 82,UNION VALE,NY,DCER,20040429,PO BOX 6,VERBANK,12585,5400-6663-04-846013,UNION VALE FIRE DEPARTMENT ST. 1,http://www.uvfdny.com/,3373 ROUTE 82
-73.69481399,41.78363337,49,MB-1,"556, 554",F,36027,135801,14017,MILLBROOK FIRE DEPARTMENT,20 FRONT ST,MILLBROOK VILLAGE,NY,DCER,20040429,PO BOX 202,MILLBROOK,12545,5801-6765-18-392042,MILLBROOK FIRE DEPARTMENT,http://www.millbrookfd.org,20 FRONT ST
-73.56105239,41.64707551,36,DO-2,"507, 510, 552, 554",F,36027,132600,14006,DOVER FIRE DEPARTMENT ST. 2,6376 ROUTE 55,DOVER,NY,DCER,20040429,PO BOX 348,WINGDALE,12594,2600-7160-00-100080,DOVER FIRE DEPARTMENT ST. 2,http://www.doverfd.com,6376 ROUTE 55
-73.58028167,41.7388308,36,DO-1,"507, 510, 552, 554",F,36027,132600,14006,DOVER FIRE DEPARTMENT ST. 1,3133 ROUTE 22,DOVER,NY,DCER,20040429,PO BOX 706,DOVER PLAINS,12522,2600-7063-15-538433,DOVER FIRE DEPARTMENT ST. 1,http://www.doverfd.com,3133 ROUTE 22
-73.76334501,41.83020219,38,EC-1,"508, 553",F,36027,132400,14007,EAST CLINTON FIRE DISTRICT,9 FIREHOUSE LN,CLINTON,NY,DCER,20040429,PO BOX 1,CLINTON CORNERS,12514,2400-6566-02-513719,EAST CLINTON FIRE DISTRICT,http://www.eastclintonfd.org,9 FIREHOUSE LN
-73.90947221,41.92677174,59,RB-1,"542, 560",F,36027,135001,14026,RHINEBECK FIRE DEPARTMENT,76 E MARKET ST,RHINEBECK,NY,DCER,20040429,76 E MARKET ST,RHINEBECK,12572,5001-6170-19-515218,RHINEBECK FIRE DEPARTMENT,http://www.rhinebeckfd.com,76 E MARKET ST
-73.91069704,41.89206295,44,HI-1,"520, 541",F,36027,135089,14012,HILLSIDE FIRE DISTRICT,11 FOX HOLLOW RD,RHINEBECK,NY,DCER,20040429,11 FOX HOLLOW RD,RHINEBECK,12572,5089-6168-00-496951,HILLSIDE FIRE DISTRICT,http://www.hillsidefiredepartment.com,11 FOX HOLLOW RD
